%
% ARFF data file, generated by KNIME
%
% Date: Sun Feb 05 11:28:54 BRT 2017
% User: otluiz
%

@RELATION DataTable
@ATTRIBUTE BR	INTEGER
@ATTRIBUTE CondPista	INTEGER
@ATTRIBUTE RestrVisibili	INTEGER
@ATTRIBUTE TipoAcident	INTEGER
@ATTRIBUTE CausaAcident	INTEGER
@ATTRIBUTE TracadoVia	INTEGER
@ATTRIBUTE TipoAuto	INTEGER
@ATTRIBUTE Gravidade	INTEGER
@ATTRIBUTE DiaDaSemana	INTEGER
@ATTRIBUTE Hour	INTEGER
@ATTRIBUTE KMArredondado	INTEGER
@ATTRIBUTE Delegacia	INTEGER
@ATTRIBUTE tx_RestVisibi	REAL
@ATTRIBUTE tx_CondPista	REAL
@ATTRIBUTE tx_TipoAcident	REAL
@ATTRIBUTE tx_DiaSemana	REAL
@ATTRIBUTE tx_CausaAcident	REAL
@ATTRIBUTE tx_TracadoVia	REAL
@ATTRIBUTE tx_BR	REAL
@ATTRIBUTE tx_Km	REAL

@DATA
101,1,10,4,3,4,55,1,2,18,68,1101,0.923,0.802,0.301,0.137,0.375,0.812,0.434,0.025
101,1,10,1,9,4,5,1,6,13,70,1101,0.923,0.802,0.218,0.14,0.024,0.812,0.434,0.016
101,1,10,4,3,4,89,1,6,17,73,1101,0.923,0.802,0.301,0.14,0.048,0.812,0.434,0.008
101,1,10,14,6,12,21,1,6,4,83,1101,0.923,0.802,0.026,0.14,0.255,0.152,0.434,0.017
104,1,10,4,6,4,144,1,3,12,20,1102,0.923,0.802,0.301,0.136,0.255,0.812,0.066,0.003
104,1,30,16,6,4,1,0,6,2,64,1102,0.031,0.802,0.043,0.14,0.255,0.812,0.066,0.013
232,1,20,4,21,4,55,1,1,15,9,1101,0.004,0.802,0.301,0.155,0.089,0.812,0.271,0.011
423,1,10,4,3,8,21,1,2,15,61,1103,0.923,0.802,0.301,0.137,0.375,0.037,0.038,0.007
424,1,10,8,3,4,34,1,6,6,26,1103,0.923,0.802,0.012,0.14,0.375,0.812,0.02,0.006
101,1,10,18,6,4,233,1,5,15,68,1101,0.923,0.802,0.034,0.158,0.255,0.812,0.434,0.025
101,4,10,2,6,8,21,1,2,18,21,1101,0.923,0.018,0.091,0.137,0.255,0.037,0.434,0.005
101,1,10,16,24,4,21,1,3,6,31,1101,0.923,0.802,0.043,0.136,0.022,0.812,0.434,0.003
101,1,10,2,3,4,5,1,5,6,34,1101,0.923,0.802,0.091,0.158,0.375,0.812,0.434,0.003
101,1,10,2,3,8,5,1,7,21,34,1101,0.923,0.802,0.091,0.132,0.375,0.037,0.434,0.003
101,1,10,24,3,12,1,1,7,20,59,1101,0.923,0.802,0.056,0.132,0.375,0.152,0.434,0.009
101,1,10,1,3,4,55,1,2,18,67,1101,0.923,0.802,0.218,0.137,0.375,0.812,0.434,0.019
101,1,10,1,3,4,21,1,4,18,68,1101,0.923,0.802,0.218,0.141,0.375,0.812,0.434,0.025
101,1,10,4,21,4,1,1,4,17,68,1101,0.923,0.802,0.301,0.141,0.089,0.812,0.434,0.025
101,1,10,8,6,4,89,1,7,12,82,1101,0.923,0.802,0.012,0.132,0.255,0.812,0.434,0.012
101,1,10,1,3,4,13,1,7,13,82,1101,0.923,0.802,0.218,0.132,0.375,0.812,0.434,0.012
101,1,10,1,6,12,144,1,5,6,103,1101,0.923,0.802,0.218,0.158,0.255,0.152,0.434,0.004
101,1,10,4,18,4,1,1,5,17,116,1101,0.923,0.802,0.301,0.158,0.039,0.812,0.434,0.002
104,4,30,10,6,4,21,1,4,17,135,1102,0.031,0.018,0.034,0.141,0.255,0.812,0.066,0.001
232,2,70,4,15,4,1,1,4,23,9,1101,0.003,0.135,0.301,0.141,0.037,0.812,0.271,0.011
232,1,10,4,21,4,21,1,2,13,9,1101,0.923,0.802,0.301,0.137,0.089,0.812,0.271,0.011
232,1,10,4,3,12,1,1,4,1,11,1101,0.923,0.802,0.301,0.141,0.375,0.152,0.271,0.004
232,1,10,1,3,4,1,1,5,17,27,1101,0.923,0.802,0.218,0.158,0.375,0.812,0.271,0.004
232,1,10,4,3,4,1,1,4,11,27,1101,0.923,0.802,0.301,0.141,0.375,0.812,0.271,0.004
232,1,10,4,3,4,55,1,7,0,102,1102,0.923,0.802,0.301,0.132,0.375,0.812,0.271,0.006
232,8,30,16,3,12,1,1,1,17,175,1102,0.031,0.004,0.043,0.155,0.375,0.152,0.271,0.001
428,1,10,24,24,4,21,1,7,2,138,1106,0.923,0.802,0.056,0.132,0.022,0.812,0.05,0.001
101,2,10,18,6,4,233,1,6,20,32,1101,0.923,0.135,0.034,0.14,0.255,0.812,0.434,0.004
101,1,10,4,6,4,13,1,3,11,41,1101,0.923,0.802,0.301,0.136,0.255,0.812,0.434,0.005
101,1,10,1,3,4,5,1,4,13,51,1101,0.923,0.802,0.218,0.141,0.375,0.812,0.434,0.012
101,1,10,16,3,12,1,1,2,7,68,1101,0.923,0.802,0.043,0.137,0.375,0.152,0.434,0.025
101,1,10,4,3,12,13,1,2,17,68,1101,0.923,0.802,0.301,0.137,0.375,0.152,0.434,0.025
101,1,10,6,6,4,34,1,1,7,70,1101,0.923,0.802,0.032,0.155,0.255,0.812,0.434,0.016
101,2,10,4,3,4,89,1,6,8,76,1101,0.923,0.135,0.301,0.14,0.375,0.812,0.434,0.008
101,1,10,1,3,4,8,1,3,7,83,1101,0.923,0.802,0.218,0.136,0.375,0.812,0.434,0.017
101,1,10,4,3,4,5,1,5,7,102,1101,0.923,0.802,0.301,0.158,0.375,0.812,0.434,0.006
101,1,10,16,3,12,8,1,2,16,136,1101,0.923,0.802,0.043,0.137,0.375,0.152,0.434,0.002
104,1,10,10,18,12,8,1,6,3,31,1102,0.923,0.802,0.034,0.14,0.039,0.152,0.066,0.003
104,1,10,1,6,4,5,1,5,13,62,1102,0.923,0.802,0.218,0.158,0.255,0.812,0.066,0.008
104,1,10,1,6,4,55,1,4,11,67,1102,0.923,0.802,0.218,0.141,0.255,0.812,0.066,0.019
116,2,10,20,18,4,5,0,6,16,26,1105,0.923,0.135,0.104,0.14,0.039,0.812,0.012,0.006
116,1,10,4,3,4,1,1,1,9,26,1105,0.923,0.802,0.301,0.155,0.375,0.812,0.012,0.006
232,1,10,20,6,4,1,1,6,20,9,1101,0.923,0.802,0.104,0.14,0.255,0.812,0.271,0.011
232,1,10,1,3,4,8,1,4,9,9,1101,0.923,0.802,0.218,0.141,0.375,0.812,0.271,0.011
232,16,10,6,27,4,5,1,2,23,11,1101,0.923,0.025,0.032,0.137,0.028,0.812,0.271,0.004
232,1,10,4,6,12,5,1,3,6,11,1101,0.923,0.802,0.301,0.136,0.255,0.152,0.271,0.004
232,1,10,10,3,12,13,1,5,15,62,1101,0.923,0.802,0.034,0.158,0.375,0.152,0.271,0.008
232,2,10,22,6,12,5,1,7,18,76,1101,0.923,0.135,0.006,0.132,0.255,0.152,0.271,0.008
232,1,10,2,3,4,89,1,5,18,131,1102,0.923,0.802,0.091,0.158,0.375,0.812,0.271,0.003
428,1,10,14,18,4,21,1,4,10,25,1105,0.923,0.802,0.026,0.141,0.039,0.812,0.05,0.004
101,1,10,4,3,4,1,1,4,9,21,1101,0.923,0.802,0.301,0.141,0.375,0.812,0.434,0.005
101,2,30,4,6,4,21,1,6,5,42,1101,0.031,0.135,0.301,0.14,0.255,0.812,0.434,0.006
101,1,10,4,21,4,1,1,5,17,42,1101,0.923,0.802,0.301,0.158,0.089,0.812,0.434,0.006
101,1,10,4,6,4,1,1,7,18,42,1101,0.923,0.802,0.301,0.132,0.255,0.812,0.434,0.006
101,1,10,22,3,4,34,1,5,6,67,1101,0.923,0.802,0.006,0.158,0.375,0.812,0.434,0.019
101,2,10,4,3,4,21,1,2,7,68,1101,0.923,0.135,0.301,0.137,0.375,0.812,0.434,0.025
101,2,10,4,3,4,1,1,3,7,68,1101,0.923,0.135,0.301,0.136,0.375,0.812,0.434,0.025
101,1,10,4,3,4,21,1,4,9,68,1101,0.923,0.802,0.301,0.141,0.375,0.812,0.434,0.025
