"BR","Gravidade","Hour","KMArredondado","tx_RestVisibi","tx_CondPista","tx_TipoAcident","tx_CausaAcident","tx_TracadoVia","DiaSemana","tx_Gravidade"
232,1,16,27,0.923,0.802,0.301,0.375,0.812,7,1.601079752
232,1,23,102,0.923,0.802,0.036,0.048,0.812,6,1.601079752
232,1,3,157,0.031,0.802,0.218,0.375,0.812,1,1.020187944
316,1,21,62,0.923,0.802,0.104,0.255,0.812,1,1.601079752
101,1,11,7,0.923,0.802,0.301,0.375,0.812,6,1.601079752
101,1,15,21,0.923,0.802,0.043,0.375,0.812,6,1.601079752
101,1,18,21,0.923,0.802,0.091,0.255,0.812,5,1.601079752
101,1,4,24,0.031,0.802,0.301,0.024,0.812,5,1.020187944
101,1,19,30,0.923,0.802,0.091,0.255,0.812,7,1.601079752
101,1,10,30,0.923,0.802,0.301,0.375,0.812,2,1.601079752
101,1,9,67,0.923,0.802,0.218,0.024,0.812,5,1.601079752
101,1,18,68,0.923,0.802,0.218,0.375,0.152,7,1.112517392
101,1,8,68,0.923,0.802,0.301,0.375,0.152,2,1.112517392
101,1,9,68,0.923,0.802,0.301,0.089,0.812,3,1.601079752
101,1,12,68,0.923,0.802,0.301,0.255,0.812,4,1.601079752
101,1,7,68,0.923,0.802,0.301,0.255,0.812,3,1.601079752
101,1,8,70,0.923,0.802,0.301,0.375,0.812,2,1.601079752
101,1,7,73,0.031,0.802,0.012,0.255,0.812,3,1.020187944
101,1,18,83,0.923,0.802,0.218,0.375,0.812,3,1.601079752
101,1,15,83,0.923,0.802,0.301,0.375,0.812,4,1.601079752
101,1,15,83,0.923,0.802,0.032,0.039,0.812,4,1.601079752
101,1,6,102,0.923,0.025,0.301,0.375,0.812,1,1.0187369
101,1,9,102,0.923,0.802,0.218,0.375,0.812,5,1.601079752
101,1,6,125,0.923,0.802,0.301,0.255,0.812,4,1.601079752
101,1,20,163,0.923,0.802,0.026,0.255,0.812,7,1.601079752
104,1,15,55,0.031,0.802,0.301,0.255,0.812,6,1.020187944
232,1,17,9,0.011,0.802,0.034,0.255,0.812,7,1.007163464
232,1,14,9,0.923,0.802,0.218,0.375,0.812,5,1.601079752
232,1,15,66,0.923,0.802,0.301,0.255,0.812,3,1.601079752
232,1,17,76,0.923,0.802,0.034,0.255,0.152,7,1.112517392
232,1,8,127,0.923,0.802,0.301,0.255,0.152,4,1.112517392
408,1,15,68,0.923,0.802,0.301,0.255,0.812,2,1.601079752
408,1,12,87,0.923,0.802,0.218,0.375,0.812,4,1.601079752
428,1,11,93,0.923,0.802,0.104,0.255,0.812,5,1.601079752
101,1,19,21,0.923,0.802,0.043,0.375,0.812,7,1.601079752
101,1,11,41,0.923,0.802,0.091,0.375,0.812,4,1.601079752
101,1,16,42,0.026,0.802,0.301,0.039,0.152,2,1.003169504
101,1,21,64,0.923,0.802,0.026,0.375,0.812,7,1.601079752
101,1,20,67,0.923,0.802,0.218,0.375,0.812,1,1.601079752
101,1,15,67,0.923,0.802,0.218,0.255,0.812,6,1.601079752
101,1,17,67,0.923,0.802,0.301,0.255,0.812,5,1.601079752
101,1,5,68,0.923,0.802,0.034,0.255,0.812,5,1.601079752
101,1,8,68,0.923,0.802,0.301,0.089,0.812,4,1.601079752
101,1,12,68,0.923,0.802,0.301,0.255,0.812,2,1.601079752
101,1,10,83,0.923,0.802,0.218,0.255,0.812,3,1.601079752
101,1,18,83,0.923,0.802,0.091,0.255,0.812,4,1.601079752
101,1,15,83,0.923,0.018,0.032,0.028,0.812,5,1.013490568
101,1,3,97,0.923,0.018,0.043,0.375,0.812,7,1.013490568
101,1,20,102,0.923,0.802,0.091,0.038,0.812,5,1.601079752
101,1,15,102,0.923,0.802,0.301,0.255,0.812,5,1.601079752
101,1,7,128,0.923,0.802,0.301,0.089,0.812,6,1.601079752
104,1,17,31,0.923,0.802,0.002,0.255,0.152,3,1.112517392
104,1,7,62,0.923,0.802,0.218,0.375,0.812,2,1.601079752
104,1,20,62,0.923,0.802,0.301,0.375,0.037,6,1.027389102
104,1,16,62,0.923,0.802,0.026,0.045,0.812,6,1.601079752
104,1,15,67,0.923,0.802,0.218,0.255,0.812,6,1.601079752
104,1,15,67,0.923,0.802,0.301,0.375,0.812,7,1.601079752
232,1,0,5,0.011,0.802,0.036,0.048,0.812,5,1.007163464
232,1,9,76,0.923,0.802,0.034,0.255,0.152,7,1.112517392
232,1,10,120,0.031,0.802,0.104,0.255,0.812,3,1.020187944
232,1,13,127,0.031,0.802,0.034,0.255,0.812,1,1.020187944
232,1,4,147,0.026,0.802,0.056,0.037,0.812,2,1.016931824
232,1,20,412,0.923,0.802,0.091,0.375,0.812,4,1.601079752
232,0,16,441,0.923,0.802,0.056,0.255,0.812,5,0.601079752
424,1,4,23,0.923,0.802,0.056,0.022,0.812,2,1.601079752
428,1,19,12,0.923,0.802,0.032,0.045,0.812,5,1.601079752
428,1,12,110,0.923,0.802,0.056,0.255,0.812,6,1.601079752
101,1,19,21,0.923,0.802,0.091,0.375,0.812,7,1.601079752
101,1,23,42,0.923,0.135,0.012,0.255,0.812,7,1.10117926
101,1,23,58,0.923,0.802,0.091,0.375,0.812,6,1.601079752
101,1,12,67,0.923,0.135,0.301,0.375,0.812,3,1.10117926
101,1,8,68,0.923,0.802,0.301,0.375,0.037,5,1.027389102
101,1,14,68,0.923,0.802,0.301,0.089,0.152,1,1.112517392
101,1,16,68,0.923,0.802,0.301,0.255,0.037,2,1.027389102
101,1,9,68,0.923,0.802,0.301,0.255,0.812,1,1.601079752
101,1,10,68,0.923,0.802,0.301,0.255,0.812,1,1.601079752
101,1,18,73,0.923,0.802,0.036,0.048,0.812,4,1.601079752
101,0,21,77,0.923,0.802,0.056,0.255,0.812,3,0.601079752
101,1,7,83,0.923,0.802,0.301,0.089,0.812,1,1.601079752
101,1,21,87,0.923,0.802,0.034,0.048,0.812,4,1.601079752
101,1,15,111,0.923,0.802,0.301,0.375,0.812,4,1.601079752
101,1,12,116,0.923,0.802,0.091,0.375,0.812,6,1.601079752
101,1,11,116,0.923,0.802,0.091,0.375,0.812,6,1.601079752
101,1,6,125,0.923,0.135,0.301,0.255,0.812,3,1.10117926
101,1,9,136,0.923,0.018,0.301,0.255,0.812,2,1.013490568
101,1,20,137,0.923,0.802,0.218,0.255,0.152,5,1.112517392
104,1,19,62,0.923,0.802,0.218,0.375,0.812,1,1.601079752
104,1,13,68,0.923,0.135,0.034,0.255,0.812,4,1.10117926
232,1,6,9,0.923,0.802,0.218,0.255,0.812,6,1.601079752
232,1,7,9,0.923,0.802,0.301,0.375,0.812,6,1.601079752
232,1,18,9,0.923,0.802,0.034,0.375,0.812,4,1.601079752
232,1,13,11,0.923,0.802,0.056,0.089,0.812,4,1.601079752
232,1,5,27,0.923,0.135,0.034,0.022,0.812,7,1.10117926
232,1,23,39,0.923,0.802,0.104,0.039,0.812,2,1.601079752
232,0,9,44,0.923,0.802,0.218,0.039,0.812,7,0.601079752
232,1,14,60,0.923,0.802,0.301,0.022,0.152,6,1.112517392
232,0,9,62,0.923,0.802,0.056,0.375,0.812,6,0.601079752
232,1,5,292,0.923,0.802,0.056,0.022,0.812,7,1.601079752
232,1,8,482,0.923,0.802,0.036,0.048,0.812,4,1.601079752
423,1,15,93,0.923,0.802,0.301,0.375,0.812,6,1.601079752
423,1,9,98,0.923,0.802,0.301,0.089,0.812,1,1.601079752
424,1,6,47,0.026,0.802,0.056,0.375,0.152,2,1.003169504
428,1,19,120,0.923,0.802,0.036,0.048,0.812,3,1.601079752
101,1,0,85,0.923,0.802,0.043,0.375,0.812,3,1.601079752
101,1,18,21,0.923,0.802,0.056,0.024,0.812,3,1.601079752
101,1,10,21,0.923,0.802,0.091,0.375,0.812,7,1.601079752
101,1,9,21,0.923,0.802,0.301,0.089,0.812,4,1.601079752
101,1,9,21,0.923,0.802,0.301,0.375,0.812,3,1.601079752
101,1,7,24,0.923,0.802,0.043,0.375,0.152,6,1.112517392
101,1,6,24,0.923,0.802,0.034,0.039,0.152,4,1.112517392
101,1,7,42,0.923,0.802,0.218,0.024,0.812,3,1.601079752
101,1,15,59,0.923,0.802,0.301,0.255,0.152,6,1.112517392
101,1,14,67,0.923,0.802,0.218,0.375,0.812,5,1.601079752
101,1,12,67,0.923,0.802,0.032,0.255,0.812,2,1.601079752
101,1,15,68,0.031,0.802,0.301,0.037,0.152,5,1.003779024
101,1,18,68,0.923,0.802,0.301,0.375,0.812,5,1.601079752
101,1,15,68,0.923,0.802,0.301,0.089,0.812,5,1.601079752
101,1,18,68,0.923,0.802,0.301,0.089,0.152,4,1.112517392
101,1,20,68,0.923,0.802,0.301,0.089,0.812,5,1.601079752
101,1,5,68,0.923,0.802,0.034,0.022,0.812,7,1.601079752
101,1,8,69,0.923,0.802,0.218,0.255,0.812,6,1.601079752
101,1,9,70,0.923,0.009,0.034,0.255,0.812,1,1.006745284
101,1,10,71,0.923,0.135,0.301,0.375,0.812,1,1.10117926
101,1,8,76,0.923,0.802,0.301,0.375,0.812,6,1.601079752
101,1,20,82,0.923,0.802,0.218,0.255,0.812,2,1.601079752
101,1,9,82,0.923,0.802,0.301,0.375,0.037,5,1.027389102
101,1,13,83,0.923,0.802,0.301,0.375,0.812,2,1.601079752
101,1,17,83,0.923,0.802,0.301,0.375,0.812,5,1.601079752
101,1,21,102,0.923,0.802,0.104,0.255,0.812,7,1.601079752
101,1,8,102,0.923,0.802,0.218,0.375,0.812,4,1.601079752
104,1,9,52,0.923,0.018,0.301,0.024,0.812,5,1.013490568
232,1,13,43,0.923,0.802,0.091,0.255,0.152,4,1.112517392
232,1,16,77,0.923,0.802,0.034,0.375,0.812,7,1.601079752
232,1,22,101,0.923,0.802,0.218,0.375,0.812,6,1.601079752
408,1,7,87,0.923,0.802,0.091,0.375,0.812,5,1.601079752
423,1,10,78,0.923,0.802,0.056,0.375,0.152,6,1.112517392
423,0,4,95,0.923,0.802,0.043,0.375,0.152,6,0.112517392
101,0,17,1,0.923,0.802,0.301,0.375,0.812,4,0.601079752
101,1,14,9,0.923,0.802,0.218,0.375,0.812,3,1.601079752
101,1,12,42,0.923,0.802,0.091,0.255,0.152,5,1.112517392
101,1,7,52,0.923,0.802,0.091,0.375,0.812,3,1.601079752
